title,authers,abstract,type,date_pub,journal,date_added,figuers,full_text,citation,interest,reads
Motivated Semantic Control Supplementary Materials.pdf,"['Nicholas Souter', 'Sara Stampacchia', 'Glyn Hallam[...]', 'Elizabeth Jefferies']",,Data,,,1d ago,0,"
Download",0,0,6
What matters to people with multiple long-term conditions and their carers?,"['Gemma Spiers', 'Elisabeth Boulton', 'Lynne Corner[...]', 'Barbara Hanratty']","Background The number of people living with multiple long-term conditions is increasing worldwide. This presents challenges for health and care systems, which must adapt to meet the needs of this population. This study drew on existing data to understand what matters to people living with multiple long-term conditions and identify priorities for future research. Methods Two studies were conducted. (1) A secondary thematic analysis of interview, survey and workshop data collected from the 2017 James Lind Alliance Priority Setting Partnership for Older People with Multiple Conditions, and patient and public involvement workshops; (2) a review of ongoing research and published research priorities, relating to older people (80+) living with multiple long-term conditions. Findings Older people with multiple long-term conditions identified a number of key concerns: access to care, support for both the patient and their carer, physical and mental health and well-being and identifying opportunities for early prevention. The review identified no published research priorities or ongoing research focusing specifically on populations aged over 80 years with multiple long-term conditions. Conclusion Older people living with multiple long-term conditions experience care that is inadequate for their needs. A holistic approach to care that extends beyond treating single conditions will ensure wide-ranging needs are met. As multimorbidity rises worldwide, this is a critical message for practitioners across health and care settings. We also recommend key areas that should be given greater focus in future research and policy to inform effective and meaningful forms of support for people living with multiple long-term conditions.",Article,1 , Postgraduate Medical Journal,3d ago,0,"
Download",0,0,9
Effectiveness and cost-effectiveness of a structured social coaching intervention for people with psychosis (SCENE): protocol for a randomised controlled trial,"['Domenico Giacco', 'Agnes Chevalier', 'Megan Patterson[...]', 'Stefan Priebe']","Introduction People with psychosis tend to have smaller social networks than both people in the general population and other people with long-term health conditions. Small social networks are associated with poor quality of life. Preliminary evidence suggests that coaching patients to increase their social contacts may be effective. In this study, we assessed whether structured social coaching improves the quality of life of patients with psychosis (primary outcome) compared with an active control group, receiving information on local social activities. Methods and analysis A structured social coaching intervention was developed based on the literature and refined through stakeholder involvement. It draws on principles from motivational interviewing, solution focused therapy and structured information giving. It is provided over a 6-month period and can be delivered by a range of different mental health professionals. Its effectiveness and cost-effectiveness are assessed in a randomised controlled trial, compared with an active control group, in which participants are given an information booklet on local social activities. Participants are aged 18 or over, have a primary diagnosis of a psychotic disorder (International Classification of Disease: F20–29) and capacity to provide informed consent. Participants are assessed at baseline and at 6, 12 and 18 months after individual randomisation. The primary outcome is quality of life at 6 months (Manchester Short Assessment of Quality of Life). We hypothesise that the effects on quality of life are mediated by an increase in social contacts. Secondary outcomes are symptoms, social situation and time spent in social activities. Costs and cost-effectiveness analyses will consider service use and health-related q
… Read more",Article,1 , BMJ Open,Dec 16,1,"
Download",0,1,20
Neighbourhood characteristics and social isolation of people with psychosis: a multi-site cross-sectional study,"['Domenico Giacco', 'James B. Kirkbride', 'Anna Ermakova[...]', 'Stefan Priebe']","Purpose People with psychosis are vulnerable to social isolation, which is associated with worse clinical outcomes. In general populations, people living in areas with higher population density have more social contacts, while those living in more socially deprived and fragmented areas are less satisfied with their relationships. We assessed whether and how neighbourhood factors are associated with social contacts and satisfaction with friendships for people with psychosis. Methods We carried out a cross-sectional study including people with psychosis aged 18–65 years in urban and rural sites in England. Population density and social deprivation and fragmentation indexes were described within Lower Level Super Output Areas (LSOA). Their associations with participants’ social contacts and satisfaction with friendships were tested with negative binomial and ordinal regression models, respectively. Results We surveyed 511 participants with psychotic disorders. They had a median of two social contacts in the previous week (interquartile range [IQR] = 1–4), and rated satisfaction with friendships as 5 out of 7 (Manchester Short Assessment of Quality of Life; IQR = 4–6). Higher population density was associated with fewer social contacts (Z-standardised relative risk [RR] = 0.88; 95% CI = 0.79–0.99, p = 0.03), but not with satisfaction with friendships (RR = 1.08; 95% CI = 0.93–1.26, p = 0.31). No associations were found for social contacts or satisfaction with friendships with social deprivation or fragmentation indexes. Conclusions Clinicians in urban areas should be aware that their patients with psychosis are more socially isolated when more people live around them, and this could impact their clinical outcomes. These findings may i
… Read more",Article,1 , Social Psychiatry and Psychiatric Epidemiology,Nov 20,1,"
Download",0,1,34
Energy poverty and social relations: characterising vulnerability using a capabilities approach,"['Lucie Middlemiss', 'Pepa Ambrosio-Albalá', 'N Emmel[...]', 'Angela Tod']",,Article,8 , Energy Research & Social Science,Nov 15,0,"
Download",4,5,113
Is there evidence of households making a heat or eat trade off in the UK?,"['Carolyn Snell', 'Hannah Lambie-Mumford', 'Harriet Thomson']","This paper explores the popular idea of a 'heat or eat' dilemma existing for some households. The mixed methods research finds that there is a relationship between not being able to heat the home and not being able to eat well. However, it appears that households struggle to do either, and there is considerable nuance in household decisions around energy use. Qualitative data analysis indicates the importance of energy billing periods, household composition and social and familial networks in terms of shaping household experiences and responses. The findings challenge the established idea that food and fuel are elastic household expenditures.",Article,8 , Journal of Poverty and Social Justice,,0,"
Request full-text",10,5,23
Energy poverty and social relations: A capabilities approach,"['Lucie Middlemiss', 'Pepa Ambrosio-Albalá', 'Nick Emmel[...]', 'Angela Tod']","Energy poverty is widely understood to be a complex and multi-faceted problem, with a range of drivers, and associated with household vulnerability. In this paper we draw on secondary qualitative data on energy poverty from the UK, as well as conceptual thinking informed by the capabilities approach, to explore a previously understudied facet of energy poverty: households’ social relations. We focus particularly on how relationships with family, friends, agencies and distant others impact on households’ ability to cope with energy poverty. We find that the connection between social relations and energy poverty is recursive: good social relations can both enable access to energy services, and be a product of such access. This connection is also mediated by more structural factors, such as access to resources, membership of particular collectivities, the need to perform particular social roles, and the common reasons attributed to poverty and energy use. Our work suggests that attempts to address vulnerability to energy poverty need to take into account the quality of households’ social relations, as well as the potential impact of policy and practice on social relations, given that people rely on their friends and families for information support and advice, on key agency workers for access to resources, and are also constrained by discourses of poverty.",Article,9 , Energy Research & Social Science,,0,"
Download",64,39,138
"Social Policies, Risks and Vulnerabilities: A Gender Perspective for Mauritius","['Zoë Irving', 'Verena Tandrayen-Ragoobur', 'Deepa Gokulsing']","This article investigates into how gender-neutral social policies affect gender dynamics of labour market participation, family life and livelihood. Taylor-Gooby’s [“New risks and social change”, pp. 1–28, 2004] new social risks concept and Holmes and Jones’ [Rethinking Social Protection from a Gender Lens. ODI Briefing Paper, 2010] framework are used to probe into the deepening of existing gender inequalities in the Mauritian multicultural society. The article argues that the prevailing social interventions in Mauritius overlook new social risks that have stemmed from the island’s economic transformation from a monocrop to an innovation based economy. This structural change has caused women, in particular, to face new risks and vulnerabilities. To advance the argument, the article examines gender norms, lack of appropriate gender-sensitive labour market policies and gender-neutral social protection measures. A mixed methodology is used with both secondary and primary data collected via interviews with key stakeholders from public and non-governmental organisations. The findings reveal the need to connect gender-sensitive welfare policies to risks and vulnerabilities to promote greater gender inclusiveness.",Article,1 , Journal of International and Comparative Social Policy,Nov 12,0,"
Request full-text",2,1,27
ESPN Thematic Report on Social protection and inclusion policy responses to the COVID-19 crisis United Kingdom,"['Jonathan Bradshaw', 'Fran Bennett', 'Caroline Glendinning[...]', 'Karen Elizabeth Bloor']",,Article,,,Nov 5,0,"
Request full-text",0,0,7
WATER POVERTY IN ENGLAND AND WALES : EVIDENCE TO THE CONSUMER COUNCIL FOR WATER (CCW) REVIEW OF WATER POVERTY IN ENGLAND AND WALES,"['Jonathan Bradshaw', 'Antonia Keung']","Water poverty is conventionally defined as households spending more than 3% and 5% of their net income after housing costs on water. Water bills have risen faster than general prices and faster than earnings since privatisation. In 2018/19 21% of households paying for water in England and Wales were spending more than 3% of their income on water and sewerage and 10.0% were spending more than 5% of their income. If income is equivalised the water poverty rates remain the similar but the composition of water-poor households changes. The paper explores variation in water poverty and prospects for the future. If water bills rise 3% per year faster than household income, water poverty will increase to 34% by 2033 based on a 3% definition. Policy options are discussed.",Article,,,Oct 25,0,"
Request full-text",0,0,4
