title,authers,abstract,type,date_pub,journal,date_added,figuers,full_text,citation,interest,reads
Promotion of behavioural change for health in a heterogeneous population,"['Robin Schimmelpfennig', 'Sonja Vogt', 'Sönke Ehret', 'Charles Efferson']","Public health policy often involves implementing cost-efficient, large-scale interventions. When mandating or forbidding a specific behaviour is not permissible, public health professionals may draw on behaviour change interventions to achieve socially beneficial policy objectives. Interventions can have two main effects: (i) a direct effect on people initially targeted by the intervention; and (ii) an indirect effect mediated by social influence and by the observation of other people's behaviour. However, people's attitudes and beliefs can differ markedly throughout the population, with the result that these two effects can interact to produce unexpected, unhelpful and counterintuitive consequences. Public health professionals need to understand this interaction better. This paper illustrates the key principles of this interaction by examining two important areas of public health policy: tobacco smoking and vaccination. The example of antismoking campaigns shows when and how public health professionals can amplify the effects of a behaviour change intervention by taking advantage of the indirect pathway. The example of vaccination campaigns illustrates how underlying incentive structures, particularly anticoordination incentives, can interfere with the indirect effect of an intervention and stall efforts to scale up its implementation. Recommendations are presented on how public health professionals can maximize the total effect of behaviour change interventions in heterogeneous populations based on these concepts and examples.",Article,1 , Bulletin of the World Health Organisation,3d ago,1,"
Download",2,1,8
Public communication at research universities: Moving towards (de)centralised communication of science?,['Marta Entradas'],"This research note reports empirical observations on public communication of research institutes within universities, using data from an international quantitative study in eight countries ( N = 2030). The note aims to contribute to discussions on the role of science communication at research universities. We observe growing science communication at the institute level, which indicates, at a first glance, a trend towards decentralised communication of science. We argue that these might be places where science communication and public engagement can thrive. Rather than claiming to be conclusive, our goal here is to stimulate discussion on the ongoing changes in the organisational science communication landscape, and the consequences it may have for practice.",Article,1 , Public Understanding of Science,5d ago,0,"
Request full-text",0,0,9
"The Power of Narratives in Social Norm Interventions: A Study of the Civic Culture Interventions of Antanas Mockus in Bogotá, Colombia","['Paulius Yamin', 'Saadi Lahlou', 'Santiago Ortega Gonzalez', 'Andrés Sáenz']",,Article,1 , SSRN Electronic Journal,Dec 16,0,"
Request full-text",0,,0
Paradox of diversity in the collective brain,"['Robin Schimmelpfennig', 'Layla Razek', 'Eric Schnell', 'Michael Muthukrishna']","Human societies are collective brains. People within every society have cultural brains—brains that have evolved to selectively seek out adaptive knowledge and socially transmit solutions. Innovations emerge at a population level through the transmission of serendipitous mistakes, incremental improvements and novel recombinations. The rate of innovation through these mechanisms is a function of (1) a society's size and interconnectedness (sociality), which affects the number of models available for learning; (2) fidelity of information transmission, which affects how much information is lost during social learning; and (3) cultural trait diversity, which affects the range of possible solutions available for recombination. In general, and perhaps surprisingly, all three levers can increase and harm innovation by creating challenges around coordination, conformity and communication. Here, we focus on the ‘paradox of diversity’—that cultural trait diversity offers the largest potential for empowering innovation, but also poses difficult challenges at both an organizational and societal level. We introduce ‘cultural evolvability’ as a framework for tackling these challenges, with implications for entrepreneurship, polarization and a nuanced understanding of the effects of diversity. This framework can guide researchers and practitioners in how to reap the benefits of diversity by reducing costs. This article is part of a discussion meeting issue ‘The emergence of collective knowledge and cumulative culture in animals, humans and machines’.",Article,1 , Philosophical Transactions of The Royal Society B Biological Sciences,Dec 13,0,"
Download",3,2,16
Perceptions of the impact of the COVID-19 pandemic on the work of science journalists: global perspectives,"['Luisa Massarani', 'Luiz Neves', 'Marta Entradas[...]', 'Martin W Bauer']","The article presents the results of a survey of science journalists from six world regions about their work during the COVID-19 pandemic. The responses show perception of increasing workload for most participants. Local scientists and peer-reviewed articles are the main sources. According to the respondents, scientists have become more available during the pandemic. The use of preprint articles was a frequent practice, but a considerable proportion declared they did not adopt different procedures when reporting them. Most also said they take fake news into account when writing their stories.",Article,1 , Journal of Science Communication,Dec 10,1,"
Download",0,2,64
Chapitre 5. Essential contradictions : psychological essentialism and concepts,"['Nick Braisby', 'Bradley Franks', 'James A Hampton']",,Chapter,,,Dec 8,0,"
Request full-text",0,,0
Chapitre 8. Classification and concepts : fuzzy or perspectival ?,"['Nick Braisby', 'Bradley Franks', 'James Harris']",,Chapter,,,,0,"
Request full-text",0,0,1
The Size of the Stag Determines the Level of Cooperation,"['Eric Schnell', 'Robin Schimmelpfennig', 'Michael Muthukrishna']","In the last 12,000 years, human societies have scaled up from small bands to large states of millions and even billions. Many modern societies and even groups of societies cooperate on large-scale projects with relatively low levels of conflict, but the scale and intensity of cooperation varies dramatically between societies. Here we attempt to formalize dynamics that may be driving this rapid increase in cooperation and the differences we see between societies. Our model extends an N-person stag hunt to include population growth dynamics, ""stags"" with different sized payoffs, and competition for these stags. An increasing number of cooperators is required to access larger stags. The payoff from these stags in turn increases carrying capacity, which increases competition for the stag. As population size increases, new cooperative thresholds are attainable, and as population size shrinks, previously attainable thresholds fall out of reach. Among other predictions, we show that when a new threshold is accessible to a population, the level of cooperation will increase to reach this threshold. However, when the next threshold is out of reach, cooperation decreases as individuals refrain from costly cooperation, preferring a smaller stag. This model offers a framework for understanding the rapid increase in the scale of human cooperation and decline of violence, differences between societies, and challenges to future cooperation.",Preprint,,,Dec 7,1,"
Download",2,1,8
Are we ‘Beyond being there’ yet?: Towards better interweaving epistemic and social aspects of virtual reality conferencing,"['Saadi Lahlou', 'Roy D. Pea', 'Maxi Heitmayer[...]', 'Adelaide P. Dawes']",,Conference Paper,,,,0,"
Request full-text",0,0,16
Cockpit Voice Recorder transcript data: capturing safety voice and safety listening during historic aviation accidents,"['Mark Noort', 'Tom W. Reader', 'Alex Gillespie']","Cockpit Voice Recorder (CVR) transcripts capture audio data within cockpit environments. This aids the investigation of causal factors contributing to aviation accidents by revealing communication and other sounds prior to aviation accidents. This dataset contains 172 unique CVR transcripts (with 21,626 lines of transcript: averaging: 106.001 conversational turns; SD = 51.727, range: 1-641), and capturing approximately 15% of historic aviation fatalities in commercial and corporate aviation between 1962 and 2018. CVR transcripts involved airlines registered across 42 countries, with accidents occurring across 50 countries. The dataset was compiled by extracting CVR transcripts from three primary data sources and excluding duplicate and non-English entries. The data contains variables describing the i) raw data, ii) content and characteristics of the CVR transcripts, and iii) behaviours coded by research assistants in support of the associated research article. The data existed of conversational turns amongst flight crew (total = 19,393; within transcripts: m = 112.750; SD = 124.829) and other data (n = 2213; within transcripts: m = 12.866; SD = 14.452; e.g., background sounds, transcriber notes). Conversational turns were uttered by junior (39.00%) and senior (35.44%) flight crew, and others (25.56%). The dataset enables future research through providing the first integrated dataset on communication behaviours prior to historic aviation accidents. Moreover, the dataset may support safety management through enabling the identification of communication behaviours contributing to accidents and the design of novel interventions. This data-in-brief is a co-submission associated with the research article: M. C. No
… Read more",Article,1 , Data in Brief,Nov 22,0,"
Download",0,1,21
InGaP/AlGaInP Quantum Well Discrete Mode Laser Diode Emitting at 689nm,"['Richard Phelan', 'Michael R. Gleeson', 'D.C. Byrne[...]', 'Brian Kelly']","A Discrete-Mode laser diode, fabricated in the In0.6Ga0.4P/AlGaInP multiple quantum well system, emitting a single mode at λ=689nm is reported. The laser has an ex-facet output power > 10mW at 30°C and operates mode hop free in the temperature range 0 to 50°C.",Article,7 , IEEE Photonics Technology Letters,Nov 8,1,"
Request full-text",4,2,36
Highly Coherent Picosecond Pulse Generation with Sub-PS Jitter and High SMSR by Gain Switching Discrete Mode Laser Diodes at 10 GHz Line Rate,"['Prince Anandarajah', 'Liam Paul Barry', 'Aleksandra Kaszubowska[...]', 'A.S. Duke']",We demonstrate the generation of picosecond pulses with ~800 fs jitter and SMSR in excess of 60 dB by gain switching a discrete mode laser and compare the results with a commercial DFB laser.,Conference Paper,,,,0,"
Download",3,2,74
Discrete mode lasers for communication applications,"['Chloe Herbert', 'D. Jones', 'Aleksandra Kaszubowska[...]', ""J. O'Gorman""]","The authors present a novel, low cost laser transmitter for telecommunication systems. This device, called discrete mode (DM) laser, is basically a ridge waveguide Fabry-Perot (FP) laser, whose wavelength spectra has been modified to obtain a single mode operation. This is achieved by perturbing the effective refractive index of the guided mode along very small sections of the laser cavity, by etching features into the ridge waveguide. Suitable positioning of these interfaces allows the mirror loss spectrum of an FP laser to be manipulated in order to achieve single longitudinal mode emission. The waveguide structure requires only a single growth stage and uses optical lithography to realise the ridge. In addition, the fabrication process is re-growth free. Despite this simple and low cost fabrication process, the DM lasers portray many advantages over the distributed feedback and distributed Bragg reflector lasers, such as very high side mode suppression ratio, stable operation over a large temperature range, narrow linewidth and low sensitivity to optical feedback.",Article,9 , IET Optoelectronics,,1,"
Download",474,51,2
How to Enhance Safety Culture and Safety Management at Airports -- The Safety Culture Stack,"['Tom W. Reader', 'Barry Kirwan']",,Conference Paper,,,Sep 30,0,"
Request full-text",0,0,9
