title,authers,abstract,type,date_pub,journal,date_added,figuers,full_text,citation,interest,reads
COVID-19 Scientific Facts vs. Conspiracy Theories: Is Science Failing to Pass Its Message?,"['Marios Constantinou', 'Antonios Kagialis', 'Maria Karekla']","Science may be failing to convince a significant number of people about COVID-19 scientific facts and needed public health measures. Individual and social factors are behind believing conspiracy theories. Adults (N = 1001) were asked to rate their beliefs in various conspiracy theories circulating in social media, rate their psychological distress relating to COVID-19, rate their trust in science to solve COVID-19 problems, and rate their willingness to adhere to measures regarding social distancing and quarantine. The findings showed conspiracy theories are widely believed and related to lower age, lower education, living in less densely populated areas, and lower income. Stronger conspiracy theory beliefs predicted science mistrust and unwillingness to adhere to public health measures. Psychological state was a strong predictor of conspiracy beliefs. Recommendations, stemming from the findings, for reducing such beliefs and better serving public health are discussed.",Article,1, International Journal of Environmental Research and Public Health,Jun 14,1,"
Download",2,4.9,70
Plurality in mating: Exploring the occurrence and contingencies of mating strategies,['Menelaos Apostolou'],"People adopt a variety of strategies in order to achieve specific mating goals. The current research nominated nine different mating strategies, and attempted to estimate their occurrence. Evidence from an online sample of 6273 Greek-speaking participants, indicated that a mixed strategy was in the highest occurrence, followed by a long-term and a short-term mating strategy. Men were more likely than women to prefer a short-term and a mixed mating strategy, and that younger participants were more likely to prefer a mixed than a long-term mating strategy. In addition, heterosexual women with same-sex attraction were more likely than exclusively heterosexual women to prefer a short-term and a mixed strategy than a long-term mating strategy. Furthermore, we found that men were more likely than women and older participants were more likely than younger participants to indicate that they would cheat on their partners if they were in a long-term intimate relationship. Furthermore , heterosexual with same-sex attraction, bisexual and homosexual men and women were more likely than exclusive heterosexual participants to indicate that they would cheat on their partners when in a long-term intimate relationship.",Article,1, Personality and Individual Differences,,0,"
Request full-text",1,3.1,154
Fears of compassion magnify the harmful effects of threat of COVID-19 on mental health and social safeness across 21 countries,"['Marcela Matos', 'Kirsten Mcewan', 'Martin Kanovsky[...]', 'Paul Gilbert']","Background: The COVID-19 pandemic is a massive global health crisis with damaging consequences to mental health and social relationships. Exploring factors that may heighten or buffer the risk of mental health problems in this context is thus critical. Whilst compassion may be a protective factor, in contrast fears of compassion increase vulnerability to psychosocial distress and may amplify the impact of the pandemic on mental health. This study explores the magnifying effects of fears of compassion on the impact of perceived threat of COVID-19 on depression, anxiety and stress, and social safeness. Methods: Adult participants from the general population (N = 4057) were recruited across 21 countries worldwide, and completed self-report measures of perceived threat of COVID-19, fears of compassion (for self, from others, for others), depression, anxiety, stress, and social safeness. Results: Perceived threat of COVID-19 predicted increased depression, anxiety and stress. The three flows of fears of compassion predicted higher levels of depression, anxiety and stress and lower social safeness. All fears of compassion moderated (heightened) the impact of perceived threat of COVID-19 on psychological distress. Only fears of compassion from others moderated the effects of likelihood of contracting COVID-19 on social safeness. These effects were consistent across all countries. Conclusions: Fears of compassion have a universal magnifying effect on the damaging impact of the COVID-19 pandemic on mental health and social safeness. Compassion focused interventions and communications could be implemented to reduce resistances to compassion and promote mental wellbeing during and following the pandemic.",Article,1, Clinical Psychology & Psychotherapy,Apr 20,0,"
Download",6,27.6,475
Correction to: Behavioural response to illness: development and validation of a self-report measure of illness behaviour avoidance,"['Inês A. Trindade', 'Helena Pinto', 'Ana Allen Gomes[...]', 'Nuno Bravo Ferreira']",,Article,1, Current Psychology,Oct 9,0,"
 access options",0,1.0,14
A comprehensive review of the challenges posed by COVID-19 in cancer patients,"['Zainab Mohseni Afshar', 'Mohammad Barary', 'Sayad Babak[...]', 'Arefeh Babazadeh']",,Preprint,,,,0,"
Download",0,1.7,38
The effect of motorcycle safety campaign on helmet use: A systematic review and meta-analysis,"['Maryam Akbari', 'Kamran B Lankarani', 'Reza Tabrizi[...]', 'Mark J M Sullman']","Objective This systematic review and meta-analysis was undertaken to estimate the effectiveness of motorcycle safety campaigns for increasing helmet use among motorcycle riders and passengers. Methods PubMed, Scopus, EMBASE, and the Web of Science (WOS) databases were systematically searched up June 2020 for all relevant studies. The National Institute of Health (NIH) tool was used to assess the quality of all included studies. Inter-study heterogeneity was measured using the Chi-Squared and I² statistics, with the odds ratio (OR) being used as a measure of the pooled effect size. Results Out of the 561 records identified from the literature searches, eight articles (or 11 studies) were eligible for inclusion in the present meta-analysis. Using a random effects model, the results of the meta-analysis demonstrated statistically significant increases in helmet use among motorcycle riders (OR = 4.52, 95% CI: 1.01–20.14, I² = 99.9%) and passengers (OR = 6.57, 95% CI: 1.41–30.56, I² = 99.9%). The findings of sensitivity analyses, based on alternative levels of r for imputing the standard error (SE) of the ORs, showed the pooled OR of helmet use among motorcycle riders (r = 0.7; 3.49; 95% CI: 0.78, 16.44; r = 0.9; 3.49; 95% CI: 0.76, 16.11) was sensitive to different levels of r. However, no significant effect was detected on the pooled effect size for different correlation coefficients for motorcycle passengers (r = 0.7; 6.56; 95% CI: 1.59, 27.00; r = 0.9; 6.56; 95% CI: 2.25, 19.13). Increases in helmet use among motorcycle passengers were found in studies that: monitored pre and post campaign periods for longer than one year and were conducted in Thailand or Vietnam. However, the effect of motorcycle safe
… Read more",Article,1, IATSS Research,Jun 1,1,"
Request full-text",2,2.1,20
"P610 Fear of COVID-19 among persons with Inflammatory Bowel Disease according to employment status, educational background and residential setting, as compared to persons with other gastrointestinal conditions","['Bobby Lo', 'A Mokrowiecka', 'Antonina A Mikocka-Walus[...]', 'S R Knowles']","Background Although several studies have reported the impact of fears relating to COVID-19 on several chronic illness populations, there are few studies focused on gastrointestinal (GI) conditions. The aim was to compare how fear of COVID-19 is manifested in people living with Inflammatory Bowel Disease (IBD) compared to other GI conditions; and, how fear of COVID-19 is manifested across different demographic backgrounds (employment status, education level and country of residence) among IBD respondents using a large international sample. Methods Participants with a GI condition (≥18years of age) were recruited from 22 countries through a web-based questionnaire. Demographic, clinical, and psychosocial information was collected in relation to the COVID-19 pandemic. An adaptation of the scale developed for IBD by Trindade & Ferreira (2020) measuring fear of COVID-19 (FoC; original items 1–9) and GI specific fear of COVID-19 (GI-FoC; new items 10–14) was used. Results In 831 participants (312 IBD), there were no significant differences in FoC between IBD and other GI conditions; whilst significant increases in GI-FoC were found in IBD respondents (mean [SD]: 13.5 [5.5] vs. 10.9 [5.0], p<0.01). The greatest fears of IBD respondents were: their condition would get worse; impact on access to medical support; being at increased risk of getting COVID-19; and being at increased risk of death if they got COVID-19. Among IBD respondents, persons on sick leave had significantly more general FoC than those who were employed, and significantly more GI-FoC compared to the employed or respondents outside of the labour market (Figures 1a and 1b). Persons living in a rural setting had significantly mor
… Read more",Article,1, Journal of Crohn s and Colitis,May 30,0,"
Request full-text",0,0.2,10
"Distance Teaching of Psychology in Europe: Challenges, Lessons Learned, and Practice Examples During the First Wave of COVID-19 Pandemic","['Lenka Sokolová', 'Ioulia Papageorgi', 'Stephan Dutke[...]', 'Helen Bakker']","COVID-19 pandemic has affected many areas of our lives including education. In the time of designing this study most schools, colleges, and universities across Europe were closed and psychology educators were expected to change their teaching methods rather quickly. This study investigates how they coped with this situation, which technology and methods they used to teach psychology distantly, and which barriers and outcomes they found in this situation. Participants were N = 660 secondary school and university teachers from 28 European countries. The results showed that the participants across Europe face similar challenges in adopting distance teaching methods, which were technical and organizational rather than pedagogical. Despite the fact they found distance teaching of specific psychological contents challenging, psychology teachers also described positive aspects of distance teaching, examples of good practice and lessons learned that could be generally implemented in the teaching of psychology beyond the pandemic situation.",Article,1, Psychology Learning and Teaching,,0,"
Request full-text",0,1.4,43
"Can't text, I'm driving -Factors influencing intentions to text while driving in the UK","['Mark J M Sullman', 'Aneta Przepiorka', 'Agata Błachnio', 'Tetiana Hill']","There is clear research evidence that using a mobile phone while driving is dangerous. However, although drivers generally know this is a risky behaviour, many continue to use a handheld mobile phone while driving. The present research used the Theory of Planned Behaviour (TPB) to explore the psychological reasons underpinning intentions to use a mobile phone while driving in general, as well as to send and read text messages while driving across four different scenarios. Convenience sampling was used to obtain data from 314 participants who held a valid licence to drive in the UK, had driven at least once in the last six months and owned a mobile phone. General intentions to use a mobile phone while driving were predicted by positive Attitudes towards the behaviour and higher Perceived Behavioural Control. Moreover, when predicting intentions to send and read text messages, it was positive Attitudes that was the most consistent and significant predictor. Surprisingly, neither Perceived Behavioural Control nor Subjective Norms were significant predictors of intentions to send or read text messages. Furthermore, perceptions of risk (crashing and being apprehended by the police) were significant predictors of intentions to send and read texts over and above that provided by the TPB variables. The present research highlights the need for interventions to target attitudinal change and to increase risk perceptions in order to reduce the prevalence of these risky behaviours.",Article,1, Accident; Analysis and Prevention,,0,"
Request full-text",1,2.2,34
Music in the lives of young children,"['Warren Brodsky', 'Ioulia Papageorgi']","There is a growing body of literature pointing to the significance of engaging with music, and to its potential for bringing about positive change in areas such as cognitive development, academic performance, educational motivation and learning, socio-emotional development and behaviour, and mental health – across the life course from infants through to seniors. The special issue ‘Music In The Lives Of Young Children’ targets music and its significance in young children’s lives with a focus on music education and the musical experience of pre-school children. The special issue is comprised of 11 articles that have been written by 32 authors (several teams of co-authors) from 10 countries (Canada, Germany, India, Israel, New Zealand, South Africa, Spain, Sweden, the United Kingdom, and the United States of America). These research studies were carried out in nine countries (Australia, Canada, Germany, India, Israel, New Zealand, South Africa, the United Kingdom, and the United States of America).",Article,1, Early Child Development and Care,Sep 10,0,"
Request full-text",0,0.4,11
