title,authers,abstract,type,date_pub,journal,date_added,figuers,full_text,citation,interest,reads
PWE-103 Positive nutritional outcomes in patients receiving home parenteral nutrition (hpn) with palliative malignancy: a uk single centre series,"['Rebecca Whitefield', 'R Iriarte', 'H Bridgestock[...]', 'NE Burch']","Introduction HPN use in those with malignant bowel obstruction or palliative cancer is relatively commonplace. The 2009 ESPEN guidelines advise consideration if tumour related prognosis is 2–3 months, where TPN is expected to improve or stabilise performance status and/or quality of life. To review our practice we undertook a retrospective audit of all palliative HPN discharges over 4 years. Method Retrospective audit of all palliative HPN discharges between October 2012 and November 2016 from UHCW. Data collected included: diagnosis, demographics, nutritional and biochemical parameters, estimated prognosis, complications, and outcome. Outcomes were collected up to 31st January 2017. Results 17 patients were identified; age 36–79 (mean 57); 59% female. Diagnosis included: malignant GI tract obstruction (n=12; 70%); malignant enterocutaneous fistulae (n=2; 12%); and malabsorption/autonomic dysfunction (n=3; 18%). Estimated prognosis was documented in 11/17 (65%):>3 months in 4 (36%); 3–6 months in 2 (18%);>6 months in 3 (27%), and >12 months in 2 (18%). 9/17 (53%) received chemotherapy alongside TPN. Weight at start of PN was 46.4–94.5 kg (mean 63.7); BMI 16.3–34.6 (mean 21.8); weight loss 0%–32% (mean 12.5%) prior to referral. 7/17 (42%) patients were alive at analysis. Of these, 3/17 (18%) had discontinued HPN due to resolution of intestinal failure, and 4/17 (24%) continuned HPN. Duration of HPN was 6.5–21 months (mean 13.4) in those with resolution, and 13.3–18 months (mean 15) in those continuing HPN. The remaining 10 patients (59%) had died; duration of HPN in this group was 0.3–29.1 months (mean 6.5). 12/17 patients (71%) survived longer than their estimated prognosis
… Read more",Conference Paper,7 , Gut,Sep 23,0,"
Request full-text",0,,1
The beef with vegans: Managing stigma in Britain's hegemonic meat culture,['Hannah Howard'],"As one of the fastest growing lifestyle choices, veganism is a diet, lifestyle and social movement motivated by animal rights, environmental protection and human health. Veganism is considered socially deviant from the hegemonic meat culture of the UK and so vegans often receive stigma when expressing this element of their identity. This study aimed to critically examine how vegans manage stigma dependent on the social and spatial context. Semi-structured interviews with 20 vegans in northwest England revealed that vegans employ four main strategies to manage stigma: acceptance, avoidance, reduction and denial. The chosen management technique was determined by a stigmatised individual's acceptance or rejection of public understandings of the stigma and the applicability of the stigma to the self. Social and spatial context were often emphasised by participants, with many vegans communicating a need to adapt their management techniques in accordance with the situation-often employing elements of different strategies simultaneously. The study thus highlights the idea of stigma as a social construct that is shifting and wide-ranging.",Article,,,,0,"
Download",0,2,145
Gender-based Violence in Sport: Prevalence and Problems,"['Melanie Lang', 'Lut Mergaert', 'Tine Vertommen', 'Catarina Arnaut']","Little is known about the prevalence of gender-based violence (GBV) in sport in European Union (EU) Member States (MS). The research question underpinning this study was therefore: What is the nature and extent of gender-based violence in sport in the EU? The study involved a scoping exercise that mapped existing research on the incidence and/or prevalence of any/all form(s) of GBV in sport. This was complemented by interviews with key stakeholders within each EU MS. Forty-one studies were identified across 17 countries. Of these, none investigated the whole range of behaviours that constitute GBV, so the prevalence of GBV in sport in EU MS is unknown. The most commonly studied form of GBV was sexual harassment, which had a reported prevalence rate of between 1% and 64% due to different methodologies and definitions. This variation is indicative of the challenges of studying GBV, which are discussed in this paper. Without clear prevalence rates for of (all forms of) GBV, prevention efforts cannot be efficiently targeted and the effectiveness of interventions cannot be assessed. Among others, we recommend the European Commission contract regular research in sport that uses a standardized definition of GBV and a common methodological approach.",Article,1 , European Journal for Sport and Society,Nov 10,0,"
Download",0,2,47
Depression in adolescent obesity: Cultural moderators of the association between obesity and depressive symptoms,"['J Wardle', 'S Williamson', 'Fiona Johnson', 'C Edwards']","Community studies relating depression to obesity in adolescents have generated inconsistent results. It has been argued that the variability in findings is due to effect modification by demographic characteristics that vary across samples. The aim of this study was to test the hypothesis that the strength of the obesity-depression association is moderated by gender, ethnicity and socioeconomic status (SES). Data were from two large, school-based, studies of adolescent health and well-being (n=4320; n=1824). Students completed one of two measures of depressive symptoms (SDQ; CES-D) in school and were weighed and measured. Gender and ethnicity were self-reported and SES was indexed by residential neighbourhood characteristics or individual family deprivation. There was barely any association between obesity and depressive symptoms in either sample. There was also no evidence that obese participants who were female, white or from higher SES backgrounds were especially vulnerable to depressive symptoms. The results indicate that in community samples of adolescents, regardless of gender, SES or ethnicity, reports of depressive symptoms are not significantly higher in obese than normal-weight groups. The results are discussed in terms of obese adolescents' resilience in the face of multiple social adversities.",Article,6 , International Journal of Obesity,,0,"
Download",94,48,135
Caffeine addiction and its effects.,['Seyi Joseph'],,Article,1 , Nursing Times,,0,"
Request full-text",2,1,27
Child-centred Framing Through Design Research: A Framework For Analysing Children’s ‘Dream Wheelchair’ Designs to Elicit Meaning and Elevate Their Voice,"['Cara Shaw', 'Francesca Bernardi', 'Farnaz Nickpour']","PREPRINT: This paper considers the possibilities of analysing children’s own designs to contribute to inclusive paediatric mobility design. The aim of this paper is threefold: (1) to develop a framework for child-centred design analysis, (2) to analyse children’s designs to explore both quantitative and qualitative insights and (3) to explore how children’s voice could be elevated through design research. A Child-centred Design Analysis Framework is developed in an interdisciplinary manner, comprising four dimensions including Child, Content, Context and Format. It is used as a vehicle to analyse and code 130 ‘Dream Wheelchair’ designs by children. The children’s ‘Dream Wheelchair’ designs reference a range of features and priorities, which are gathered into themes through the framework, providing insights into children’s individual and collective mobility narratives, values and requirements. Themes are explored through a qualitative interdisciplinary lens to understand the nature of children’s lived experiences. The framework promotes child-centred framing through extracting meaning from children’s own designs. It is suggested that child-centred framing and a rights-respecting approach to assistive technology design research can lead to more appropriate design outcomes and improved user experiences for children with disabilities.",Article,,,Aug 4,1,"
Download",0,4,215
Active Mars: A Dynamic World,"['Colin M. Dundas', 'Patricio Becerra', 'Steph Byrne[...]', 'Adomas Valantinas']","Mars exhibits diverse surface changes at all latitudes and all seasons. Active processes include impact cratering, aeolian sand and dust transport, a variety of slope processes, changes in polar ices, and diverse effects of seasonal CO2 frost. The extent of surface change has been surprising and indicates that the present climate is capable of reshaping the surface. Activity has important implications for the Amazonian history of Mars: understanding processes is a necessary step before we can understand their implications and variations over time.",Article,1 , The Journal of Geophysical Research Planets,Jul 7,1,"
Download",2,3,62
Hallmarks of the Political in Community Organizing: An Arendtian Perspective,['Paul Bunyan'],"Drawing upon Hannah Arendt’s adherence to existential phenomenology, the article advances a political understanding and interpretation of community organizing. Arendt, it is maintained, offers valuable insight into political phenomena which are constitutive of community organizing. Four aspects, in particular, are highlighted—what I refer to as the four “A”s of association, action, appearance and authenticity—understood in existentialist, phenomenological, ontological and ultimately political terms, as primary ways of being-together-politically . The first part of the article examines Arendt’s existential phenomenological approach in shaping her understanding of the political. This provides the theoretical basis for examining in the second part of the article, phenomena which are constitutive of community organizing, highlighting how association, action, appearance and authenticity form distinctive political characteristics of community organizing as an approach. At different points, brief reference is made to the work of London Citizens, the largest broad-based organization in the UK, in order to illustrate the connections between Arendtian thought and community-based organizing.",Article,1 , International Journal of Voluntary and Nonprofit Organizations,,0,"
Download",0,1,22
Psychosocial aspects of weight control and weight concern in adolescent girls,['Fiona Johnson'],"The increasing prevalence of obesity has been described as a 'global epidemic' (WHO 2000), leading to calls for individuals to make changes to their dietary behaviours and physical activity levels. As the same time there is concern about the harmful effects of excessive weight concerns and dietary restriction, particularly amongst young women. Many girls who control their weight experience high levels of psychological distress and a small number go on to develop eating disorders. This thesis uses data from a survey of 1177 adolescent girls, which incorporates a one- year follow-up of the sample, to examine social and psychological factors which predispose individuals to weight control attempts. It aims to distinguish aspects of weight control associated with harmful levels of distress from those which lead to healthy lifestyle changes, examining the contribution of intensity of dieting, involvement in specific weight control practices, dietary restraint and body dissatisfaction in order to investigate which are the most harmful aspects of weight control. Weight control and dietary restraint has been associated with a number of detrimental psychological and behavioural outcomes, including depression, low self esteem and bulimic binge eating. Results presented here, however, suggest that these outcomes may be more closely associated with the high levels of body dissatisfaction found in dieters, and that the direct effects of weight control behaviours may not be as strong as has been claimed. They also suggest that the sub-group of dieters who practice only healthy, recommended methods of weight control do not exhibit many of the negative psychological and behavioural characteristics of dieters. Future research
… Read more",Thesis,,,,1,"
Download",0,0,5
Selective Material Characterisation of Ceramic Matrix Composites for Advanced Gas Turbines,"['K. Iffländer', 'G. C. Gualco', 'F. Rosatelli[...]', 'M. Nedele']",fossil combustibles;high temperature performance;ceramic matrix composite;gas turbines;rank materials,Chapter,,,Dec 9,0,"
Request full-text",1,0,7
