title,authers,abstract,type,date_pub,journal,date_added,figuers,full_text,citation,interest,reads
Developing New Routes across North Europe: Walking in the Baltic States and England,"['John Eade', 'Tiina Sepp']","A paper written with Tiina Sepp which examines the revival of pilgrimage routes in northern Europe through a comparison between the Baltic States and England. The authors largely draw on ethnographic data based on interviews with walkers in Estonia and participant observation of one way walks in England organised by the British Pilgrimage Trust. The contemporary proliferation of pilgrimage routes across northern Europe is remarkable given the destruction of shrines during the Protestant Reformation and the concomitant rapid decline in those walking to those shrines, except in Ireland and in one of Baltic States studied here, Lithuania. While pilgrimage revived as a religious practice in England during the early twentieth century , contemporary pilgrimage has become more inclusive, being bound up with the increasing popularity of walking as a leisure activity in Europe after the Second World War, the increasing degree of individual choice, the reinterpretation of pilgrimage as a ""spiritual"" journey and increasing interest in heritage. In both the Baltic States and England the camino to Santiago de Compostela serves as an influential model but national factors (political, cultural and social) are also important.",Preprint,,,20h ago,0,"
Download",0,,5
Drivers of green supply chain management: a close-up study,"['Alaba Ososanmi', 'Lekan Ojo', 'Olajide Emmanuel Ogundimu', 'Ayodeji Emmanuel Oke']","Green supply chain management (GSCM) is an important part of most production organisations in developed countries. Meanwhile, developing countries are yet to fully embrace the concept. This study, therefore, investigated the drivers of GSCM using a close-up approach in a leading manufacturing organisation in Nigeria with sustainability initiatives. One hundred and fifty-four questionnaires retrieved from the supply chain management team of the organisation were subjected to descriptive and inferential statistics such as mean score, standard deviation, and factor analysis. Based on the results of the analyses, the drivers of GSCM in the organisation could be grouped as government-related, organisational-related, and societal-related drivers. The study concluded that synergy of the government, organisations, non-government organisations, and individual is important for achieving green supply chain practices in developing countries. It was recommended that training at all levels is essential to improve the awareness and importance of sustainable production to the environment.",Article,1 , Environmental Science and Pollution Research,Dec 13,0,"
 access options",0,3,67
Drivers of Green Supply Chain Management: A Close-up Study,"['Alaba Ososanmi', 'Lekan Ojo', 'Olajide Emmanuel Ogundimu', 'Ayodeji Emmanuel Oke']","Green supply chain management (GSCM) is an important part of most production organisations in developed countries. Meanwhile, developing countries are yet to fully embrace the concept. This study, therefore, investigated the drivers of GSCM using a close-up approach in a leading manufacturing organisation in Nigeria with sustainability initiatives. One hundred and fifty-four questionnaires retrieved from the supply chain management team of the organisation were subjected to descriptive and inferential statistics such as mean score, standard deviation, and factor analysis. Based on the results of the analyses, that the drivers of GSCM in the organisation could be grouped as government-related, organisational-related, and societal-related drivers. The study concluded that synergy of the government, organisations, non-government organisations, and individual is important for achieving green supply chain practices in developing countries. It was recommended that training at all levels is essential to improve the awareness and importance of sustainable production to the environment.",Preprint,,,,0,"
Download",0,3,130
Impacto socioeconómico dos itinerarios culturais: o Camiño de Santiago e outras rutas de peregrinación,"['Ruben Camilo Lois González', 'John Eade', 'Adolfo Carballo-Penela']",,Article,1 , Revista Galega de Economia,Nov 26,0,"
Request full-text",0,0,9
Poles Apart? EU Enlargement and the Labour Market Outcomes of Immigrants in the UK,"['Stephen Drinkwater', 'John Eade', 'Michal Garapich']","The UK was one of only three countries to allow migrants from accession countries to enter their labour markets more or less without restriction following EU enlargement in May 2004. Therefore, it is important to establish the characteristics and labour market performance of migrants from these countries who have subsequently entered the UK. We principally analyse Labour Force Survey data to compare the labour market outcomes of recent migrants from Poland and other accession countries to those of earlier migrant cohorts from these countries as well as to those of other recent migrants to the UK. We find that the majority of post-enlargement migrants from accession countries have found employment in low paying jobs, despite some (especially Poles) having relatively high levels of education. It follows that recent Polish migrants typically have lower returns to their education than other recent arrivals. Migrants from the new entrants who arrived immediately prior to enlargement possess similar characteristics and labour market outcomes, apart from having a higher propensity to be self-employed. These results are discussed in the context of policy changes, migration strategies, assimilation effects and possible impacts on the sending countries.",Article,6 , SSRN Electronic Journal,Nov 20,1,"
Download",197,98,3
Competing visions of identity and space: Bangladeshi Muslims in Britain,"['John Eade', 'David Garbin']","This article explores the role of politics in public debates about what it means to be a Bangladeshi Muslim in contemporary Britain. It examines the history of Bangladeshi community activism, tensions at work in the political arena, and the part played by Islamist leaders and organisations. It grounds this analysis not only in Tower Hamlets, the â–˜heartlandâ–™ of the community, but also in Oldham and Birmingham where there are substantial, if scantily researched, concentrations of British Bangladeshis. Through a study of the competing visions of identity and space, this article explores the ways in which secular and religious leaders seek to represent their community in the public sphere. It also discusses the ways in which local political dynamics are shaped by (mainly ideological and social) transnational networks.",Article,6 , Contemporary South Asia,Oct 17,0,"
Download",70,36,146
PILNET (Pilgrimage Studies Network) of EASA,"['John Eade', 'Mario Katić', 'Dionigi Albera[...]', 'Evgenia Mesaritou']","A two day conference. The first day will involved a conference on “Pilgrimage and the Politics of Presence and Absence: Anthropological Horizons on Sacralizing Locality, Visibility and Invisibility in the Contemporary World”, organised by Simon Coleman and Evgenia Mesaritou on September 23, in the same location. On the second day the workshop “Pilgrimages in Times of Pandemics. Crises, Regulations, Innovations” will be held and thos attending the first day can also attend this other workshop.",Poster,,,Sep 24,0,"
Download",0,6,145
A protocol for the management of grapevine rootstock mother vines to reduce latent infections by grapevine trunk pathogens in cuttings,"['Helen Waite', 'Regina Billones-Baaijens', 'Josep Armengol[...]', 'Richard Smart']","A protocol is offered as a guideline for managers of rootstock mother grapevines, and as a potential research framework for to reduce infections by Grapevine Trunk Disease (GTD) pathogens in rootstock mother vines and cuttings. Latent infections by GTD pathogens in rootstock cuttings are a major source of the pathogens in grafted nursery vines and subsequently in new vineyards. The many pruning cuts made at the crowns of mother vines predispose them to infection which is transmitted to the new shoots via the xylem. Direct penetration by epiphytic inoculum on the bark of the shoots/canes can also occur. Mother vines with unprotected pruning wounds are typically heavily infected, particularly if they are not trellised. Availability of pruning wound treatments is limited in many countries. The spread of GTD pathogen inoculum can be reduced by avoiding sprinkler and flood irrigation, by trellising mother vines so that canopies are off the soil, and by spraying fungicides or painting wounds immediately after canes are harvested. Frequent trunk renewal aids in reducing inoculum. Cuts should be made to retain long internodes on the mother vines, cuttings should not contact the soil and pruning debris should be promptly destroyed. Cutting implements should be disinfested regularly and cuttings should be dipped in a registered fungicide or sterilant. Soaking cuttings increases fungal populations in the basal wounds and softens the bark, favouring penetration by pathogen inoculum. Dormant bench grafting in nurseries produces more GTD-symptomatic vines than field chip budding, so improved management for rootstock mother vines is more important where dormant cuttings are bench grafted. GTD epidemiology in source blocks is summa
… Read more",Article,8 , Phytopathologia Mediterranea,Aug 9,1,"
Download",048,33,1
Grapevine Trunk Diseases. A review,"['Mario De la Fuente Lloreda', 'Fontaine Florence', 'David Gramaje[...]', 'Corio-costet Marie-France']","Grapevine trunk diseases (GTD) are currently considered one of the most relevant challenges for the viticulture. These destructive diseases cause in vineyards several damages every year, and they are of rapidly growing concern in all wine producing countries. In 2006, the OIV established a resolution about some principal measures used to prevent or limit the proliferation of wood diseases (resolution OIVVITI 2/2006), and minor references in CST 1/2008 and CST2/2011 OIV resolutions. Recently, a new initiative has arisen inside the OIV group ""vine protection and viticultural technics (PROTEC)"" concerning to the development and impact of main trunk diseases, and their different alternatives to control or mitigation of their spread and damage at an international level of the cultivated Vitisspecies. The following document, which could be updated in the future on further editions, attempts to describe the state of art in this field, and was drafted in collaboration with the members of the International Council on Grapevine Trunk Diseases (ICGTD) by the following research group:",Book,,,,1,"
Download",662,68,1
Grapevine trunk diseases,"['Mario De la Fuente Lloreda', 'D. Gramaje', 'Josep Armengol[...]', 'Corio-costet Marie-France']",,Book,,,,0,"
Download",0,6,101
