title,authers,abstract,type,date_pub,journal,date_added,figuers,full_text,citation,interest,reads
The data-driven personalisation of insurance,['Liz Mcfall'],"ABSTRACT Are data-driven techniques ‘personalising’ insurance? The application of new techniques over the last decade has been welcomed in some quarters as a means of disrupting an unpopular industry. In other quarters, disruption is seen as a threat to the solidaristic, risk-spreading principles underlying socialised and, to a lesser extent, privatised insurance models. If risk is to be determined by the behaviour of individuals rather than their membership of pools, this has far-reaching implications for how fairness and non-discrimination are defined and regulated in insurance practice. Yet public debate on the topic has been hampered by confusion over what is meant by ‘personalisation’ and by limited understanding of the role existing insurtech innovations play in assessing risk. To clarify these issues the paper reviews two recent and controversial cases– the use of self-tracking in ‘interactive’ health and life insurance and the use of customer-facing AI by Lemonade Inc. a non-life US based insurtech company.",Conference Paper,,,4d ago,0,"
Download",0,0,7
Performance evaluation of hybrid routing protocols against network layer attacks in MANET,"['Apoorva Chandra', 'Sanjeev Thakur']","This paper simulates and evaluates the performance of zone routing protocol (ZRP), hybrid wireless mesh protocol (HWMP) and adhoc on demand distance vector protocol (AODV) against black hole, gray hole and jellyfish reordering attacks which inversely affect the functionality of protocols. Although for MANET numerous protocols and improvised algorithms has never been tested against each other on numerous network layer attacks. The performance evaluation done has quantitatively represented facts for use of specific routing protocol. For fast and secure transmission of data for network scenario those protocols are used who acquire structural change of network scenario. Mobile nodes are open to security attacks as due to their changing network structure and open communication channel. This paper simulated protocols which are being used recently by mobile devices and based on research of proactive, reactive and hybrid protocols and the behaviour they exhibit in particular node structure against the vulnerabilities which they exhibit.",Conference Paper,,,4d ago,0,"
Request full-text",9,4,23
Corporate Social Responsibility in the Development of China’s Rural Education: A Case Study of Two Counties in Anhui Province,"['Jingbo Hua', 'Natalie Wong']","This research paper took new stakeholder businesses in Tongcheng and Huaining, two cities in Anhui Province, China, as cases for a comparative study to analyse the role of corporate social responsibility (CSR) in supporting education in China’s rural areas. The research primarily used interviews with subjects from the local education bureau, rural schools and related corporations. The study suggests that CSR has promoted rural education in Tongcheng and Huaining through various channels, including foundations, local NGOs, government agencies and direct involvement. However, most CSR involvement is highly vulnerable, owing to the lack of institutionalization and formalization of CSR behaviour. Additionally, the inappropriate administrative practices of governments and unreliable channels of distribution of funds are impediments to CSR. The study demonstrates that CSR is a rapidly developing concept in China, with strong untapped potential to improve rural education if current obstacles can be removed.",Article,0 , China An International Journal,5d ago,1,"
Download",0,0,92
‘You just prefer to die early!’: how socioecological context impedes treatment for people living with HIV in Iran,"['Vira Ameli', 'Leila Taj', 'Jane Barlow[...]', 'Minoo Mohraz']","Introduction Despite the low prevalence of HIV and broad provision of antiretroviral therapy, the Middle East and North Africa (MENA) remains the only region where new HIV infections and AIDS-related deaths are not declining. There is a dearth of evidence from MENA on antiretroviral therapy engagement. In this qualitative study, we sought to identify the ways in which successful treatment is hindered in Iran, which is home to 24% of HIV infections in MENA. Methods From August 2018 to January 2019, we used purposive sampling and conducted 12 individual interviews and 8 focus group discussions with 27 female and 31 male patients, in addition to 5 individual interviews with HIV care providers and 1 focus group discussion with 8 care providers. Social constructivism augmented with realist-informed thematic analysis was used to understand how the socioecological context triggers cognitive and affective mechanisms that disrupt antiretroviral therapy. Results The use of Thematic Network Analysis resulted in the identification of three key cognitive and affective mechanisms that appear to shape treatment experience and are triggered via HIV’s socioecological context and changing economic conditions in Iran: denial in response to societal negative perceptions of HIV; fear in response to societal lack of awareness regarding HIV and misinformation; and despair in response to HIV-related stigma and enacted discrimination, economic insecurity and social support. Conclusions To our knowledge, this is the first study within MENA to identify pathways through which successful treatment is hindered. It appears that lack of societal awareness regarding HIV is specific to low prevalence settings, such as MENA countries, where nega
… Read more",Article,1 , British Medical Journal Global Health,6d ago,0,"
Download",0,0,25
What roles for viruses in origin of life scenarios?,['Gladys Kostyrka'],"Important roles in origin of life (OL) scenarios have been and still are attributed to viruses. Yet the strict dependence of viruses on cells for their multiplication has been widely acknowledged since the first decades of the 20th century. How could viruses play critical roles in the OL if life relies on cellular organization and if viruses are defined as parasites of cells? In other words, how could viruses play a role in the emergence of cellular life if the existence of cells is a prerequisite for the existence of viruses? This paper investigates this issue and describes past and current OL scenarios conferring viruses with important roles, thereby completing the work of historian of science and physician Scott Podolsky who identified three major roles of viruses in past OL scenarios. Some objections raised by present OL scenarios conferring viruses with an important role are discussed. I argue that disagreements concerning the roles of viruses in OL scenarios stem from the different concepts of life and of virus scientists defend. Investigating the roles of viruses in OL scenarios not only helps identifying different ways to define life in the context of OL theorizing. It also offers the opportunity to better understand how viruses could be conceptualized. The relevance of the replication-first versus metabolism-first dichotomy in OL theorizing is briefly discussed.",Article,6 , Studies in History and Philosophy of Science Part C Studies in History and Philosophy of Biological and Biomedical Sciences,6d ago,1,"
Request full-text",12,6,37
Understanding viruses: Philosophical investigations,"['Thomas Pradeu', 'Gladys Kostyrka', 'John Dupré']","Viruses have been virtually absent from philosophy of biology. In this editorial introduction, we explain why we think viruses are philosophically important. We focus on six issues (the definition of viruses, the individuality and diachronic identity of a virus, the possibility to classify viruses into species, the question of whether viruses are living, the question of whether viruses are organisms, and finally the biological roles of viruses in ecology and evolution), and we show how they relate to classic questions of philosophy of biology and even general philosophy.",Article,6 , Studies in History and Philosophy of Science Part C Studies in History and Philosophy of Biological and Biomedical Sciences,,1,"
Download",036,24,3
From obstacle to lynchpin: the evolution of the role of bacteriophage lysogeny in defining and understanding viruses,"['Gladys Kostyrka', 'Neeraja Sankaran']","The phenomenon of bacteriophage lysogeny has played a vital role in understanding the nature of viruses more generally. Discovered in 1920, the phenomenon was first wielded by its discoverers as a challenge to the idea that bacteriophages might be autonomous infectious agents of exogenous origin, namely viruses. But by the 1950s, lysogeny had come to be understood as a key mechanism through which some bacteriophages interacted with their bacterial hosts. In this paper we consider the history of the status of bacteriophage lysogeny from obstacle to lynchpin in conceiving of viruses, paying particular attention to the contributions of Eugène and Élisabeth Wollman, Macfarlane Burnet and André Lwoff in effecting this transition. As Lwoff is often acknowledged to be the author of the ‘modern’ virus concept, this paper also retraces the precise experimental, theoretical and technical pathways that led him and his collaborators from their studies of lysogeny to the construction of the said concept. We discuss Lwoff's virus concept and the widening impact of his ideas, with special consideration of how lysogeny helped revolutionise the understanding virus–host-cell relationships in tumour viruses.",Article,0 , Notes and Records of The Royal Society,,0,"
Request full-text",1,0,13
"Zooming in on risk- Insurtech, big data and the business of disruption",['Liz Mcfall'],"Abstract: Purpose-built insurance architecture was once commissioned to convey messages of strength, solidity and mythological antiquity and reproduced as corporate graphic identities in print paraphernalia from letterhead to advertisements and souvenir calendars. But is there more at play in insurance architecture than promotional strategy and if architecture has a promotional role, who are the targeted audiences? This paper explores the changing relationship between insurance buildings, insurance brands, and capital and property investment strategies. It considers how the business of property investment propelled the work of big insurers in shaping urban environments through the twentieth century and traces how that began to change as the century closed. The ascendance of the tech industries and the emergence of ‘insurtech’ has been accompanied by a change in the role architecture plays in insurance. Architecture, and interior design, still play a central role in branding but insurtech start-ups, and the insurtech branches of legacy insurers, use it to convey lightness, agility, creativity and informality. These changes line up with a signature big tech aesthetic – more valley, less city – that is designed to evoke innovation and disruption. This is a narrative that is targeted at investors as much as consumers.",Preprint,,,7d ago,0,"
Download",0,0,5
"Create Just, Inclusive Feminist Economies to Foster Sustainable Peace","['Carol Cohn', 'Claire Duncanson']",,Chapter,,,Nov 22,0,"
Request full-text",0,0,2
Accelerators for achieving the sustainable development goals in Sub-Saharan-African children and young adolescents – A longitudinal study,"['Katharina Haag', 'Stefani Du Toit', 'William Rudgard[...]', 'Lorraine Sherr']",,Article,2 , World Development,Nov 20,0,"
Request full-text",0,0,18
