title,authers,abstract,type,date_pub,journal,date_added,figuers,full_text,citation,interest,reads
Social and solidarity economy and access to food: Insights from Cameroon,['Nathanael Ojong'],"The social and solidarity economy has an increasingly important role in the issue of access to food. This article examines food solidarity in various low-income communities in Cameroon. In the foreground is a nuanced perspective on food distribution practices in the country; such practices allow the low-income population to have access to food. The methodology is qualitative; Interviews were conducted with the participants in English, French, and Pidgin. To facilitate the disclosure of information, it was clarified that the data provided will be anonymous (pseudonyms are used). In addition, for confidentiality reasons, no information that could reveal the identity of the participants is disclosed.",Article,1 , Revista Nacional de Administración,4d ago,0,"
Request full-text",0,0,13
In Memoriam: Aziz Choudry (1966-2021),"['Evelyn Encalada Grez', 'Katherine Nastovski']",,Article,1 , Global Labour Journal,Dec 15,0,"
Download",0,0,13
Transnational Labour Solidarity as Transformative Practice: Reframing the Role of Labour Transnationalism,['Katherine Nastovski'],"In the 1980s and 1990s, a significant number of rank-and-file trade union activists in Canada became actively engaged in various forms of international labour solidarity. This activity, the end of the Cold War and the increasing impacts of neo-liberal globalisation combined to spark hopes for greatly expanding practices of labour transnationalism. This vision of transnationalising trade union organisation has not materialised and, in fact, inside Canadian unions there has been declining faith in the possibilities of building transnational solidarity. Starting with an analysis of the dominant dichotomies underlying the literature on labour transnationalism, I suggest that stepping outside these dichotomies can provide a different way of assessing the role of transnational labour solidarity within broader struggles for workers’ justice. In this article, drawing upon the case of transnational political solidarities built by workers inside Canadian unions in the 1980s and 1990s, I argue that assessing transnational practices with a longer view to class formation and the goals of workers’ emancipation can help to expand conceptions of what constitutes successful transnational practice. Such a reassessment of the role of labour transnationalism is particularly timely in the current context of right-wing populism.",Article,1 , Global Labour Journal,,0,"
Download",0,0,11
Women's law‐making and contestations of “marriage” in African conflict situations,"['Annie Bunting', 'Heather Tasker', 'Emily Lockhart']","International criminal law has developed significantly over the past 20 years since the establishment of the ad hoc Tribunals and International Criminal Court. Much scholarly attention has focused on the politics and jurisprudence of these courts, with particular focus on the prosecution of sexual and gender‐based violence. This article adds to the literature with comparative, qualitative research with survivors of conflict‐related forced marriage in Liberia, Sierra Leone, and Uganda, revealing context‐specific understandings of marriage, consent and harm. We argue women exercise “tactic agency” in captivity in ways that are, taken together, “law‐making” in their contestations over the socio‐legal categories of marriage. Their contestations of marriage impact the norms within rebel groups as well as the development of new crimes against humanity in international criminal law. Building on the empirical findings, we argue that prosecution of crimes against humanity and reparation programs ought to be flexible and responsive enough to capture the varied experiences of women and girls abducted in war for purposes of sexual exploitation.",Article,1 , Law & Society Review,Dec 8,0,"
Download",0,0,6
"COVID-19 Global Pandemic, Financial Development and Financial Inclusion","['Nathanael Ojong', 'Simplice Asongu']","This chapter examines how the Covid-19 pandemic has affected financial development and financial inclusion in African countries. The study provides both broad perspectives and country-specific frameworks based on selected country cases studies. Some emphasis is placed on the achievement of sustainable development goals (SDGs) that are related to financial inclusion. The study aims to understand what immediate challenges the COVID-19 pandemic has represented to the economies and societies on the one hand and on the other, the effect of the COVID-19 on the interconnected financial systems in terms of consequences of the pandemic. The relevance of the study builds on the importance of these insights in helping both scholars and policy makers understand how the effect of the pandemic on the financial system and by extension, the global economy can be mitigated for more financial inclusion.",Article,1 , SSRN Electronic Journal,Nov 30,0,"
Download",0,3,61
"Place, power, difference: Multiscale research at the dawn of the twenty-first century","['L.L. Gezon', 'Sydney Paulson']","Innovations and debates within political ecology, as well as critiques of the approach as a whole, have motivated serious reflection about the methods, concepts, and studies that make up this relatively new field. As environmental issues become increasingly prominent in local struggles, national debates, and international policies, scholars are paying more attention to conventional politics and to more broadly defined relations of power and difference in interactions among human groups and their biophysical environments. This move has generated questions about the role of politics in environmental scholarship and practice as well as concerns that ardent attention to political phenomena may leave ecological detail in the shadows. In efforts to work more closely with political, economic, and ecological concerns and phenomena, political ecologists have pursued several promising paths: they have looked beyond the local community to explain natural resource use, explored power dynamics in everyday interactions and formal policy arenas, and paid increasing attention to the environmental interests, knowledge, and practices of social groups differentiated by race, ethnicity, gender, or other factors. © 2005 by Rutgers, The State University of New Jersey. All rights reserved.",Article,,,Nov 29,0,"
Request full-text",53,27,78
Cell death. I. The effect of injury on the proteins and deoxyribonucleic acid of Ehrlich tumor cells,"['D W KING', 'Sydney Paulson', 'N C HANNAFORD', 'A T KREBS']",,Article,9 , American Journal Of Pathology,,0,"
Request full-text",23,11,13
Locating the Political in Political Ecology: An Introduction,"['Sydney Paulson', 'Lisa L. Gezon', 'Michael Watts']","Recent debates within political ecology have motivated serious reflection about key concepts and methods in this relatively new field. In the introduction to this special issue, we briefly chart the intellectual genealogy of political ecology, identify vital challenges faced today, and present a new set of studies that respond to these concerns. We conceptualize power as a social relation built on the asymmetrical distribution of resources and risks and locate power in the interactions among, and the processes that constitute, people, places, and resources. Politics, then, are found in the practices and mechanisms through which such power is circulated. The focus here is on politics related to the environment, understood as biophysical phenomena, together with human knowledge and practice. To apply these concepts, we promote multiscale research models that articulate selected ecological phenomena and local social processes, together with regional and global forces and ideas. We also advocate methods for research and practice that are sensitive to relations of difference and power among and within social groups. Rather than dilute ecological dimensions of study, this approach aims to strengthen our ability to account for the dialectical processes through which humans appropriate, contest, and manipulate the world around them.",Article,3 , Human Organization,,0,"
Request full-text",272,141,563
Sustainable and Inclusive Internationalization: Reimagining Approaches in Higher Education in an Era of Global Uncertainties,"['York University', 'Sarah Waithe']",,Book,,,Nov 23,0,"
Request full-text",0,0,4
The effects of Asian population substructure on Y STR forensic analyses,"['Bruce Budowle', 'Jianye Ge', 'Joyce Low[...]', 'Ranajit Chakraborty']","A total of 3046 males of Chinese, Malay, Thai, Japanese, and Indian population affinity were previously typed for the Y STR loci DYS19, DYS385 (counted as two loci), DYS389I, DYS389II, DYS390, DYS391, DYS392, DYS393, DYS437, DYS438, DYS439, DYS456, DYS458, DYS635, DYS448, and Y GATA H4 using the AmpFlSTR Yfiler kit. These samples were assessed for population genetic parameters that impact forensic statistical calculations. All population samples were highly polymorphic for the 16 Y STR markers with the marker DYS385 being the most polymorphic, because it is comprised of two loci. Most (2677 out of a total of 2806 distinct haplotypes) of the 16 marker haplotypes observed in the sample populations were represented only once in the data set. Haplotype diversities were greater than 99.57% for the Chinese, Malay, Thai, Japanese, and Indian sample populations. For the Y STR markers, population substructure correction was considered when calculating the rarity of a Y STR profile. An F(ST) value, rather than a R(ST) value, is more appropriate under a forensic model. Because the F(ST) values are very small within the Asian populations, the estimate of the rarity of a haplotype comprised of 10-16 markers does not need substructure correction. However haplotypes with fewer markers may require F(ST) corrections when calculating the rarity of the profile.",Article,8 , Legal Medicine,Nov 17,0,"
Request full-text",21,10,69
Synthesis and Biological Properties of Coumarin Analogue: A Brief Review,"['Diksha Chaudhary', 'Pooja Bedi', 'Soumava Santra', 'Tanay Pramanik']","One of the most prominent aromatic organic chemical compound is Coumarin having formula C9H6O2 which is widely known for its benefits in drug industry. Colourless crystalline solid having sweet scent is coumarin’s physical identity. It serves various purposes such as in synthesis of medicines, laser dyes, perfumes and many more. Having enormous usages it becomes important to synthesize such compound so various reactions were performed in order to obtain coumarins. This review explicates the preparation of coumarin by Pechmann Condensation and its biological characteristics.",Article,1 , Letters in Organic Chemistry,Nov 4,1,"
Download",0,3,217
A novel and green water softening technology using biodegradable materials,"['Stanzin Lzaod', 'Pooja Bedi', 'Diksha Chowdhury[...]', 'Tanay Pramanik']",,Article,,,,0,"
Request full-text",0,0,50
