title,authers,abstract,type,date_pub,journal,date_added,figuers,full_text,citation,interest,reads
"What Family Circumstances, During COVID-19, Impact on Parental Mental Health in an Inner City Community in London?","['Lydia Whitaker', 'Claire Cameron', 'Hanan Hauari[...]', ""Margaret O'Brien""]","The introduction of lockdown due to a public health emergency in March 2020 marked the beginning of substantial changes to daily life for all families with young children. Here we report the experience of families from London Borough of Tower Hamlets with high rates of poverty and ethnic and linguistic diversity. This inner city community, like communities worldwide, has experienced a reduction or closure in access to education, support services, and in some cases, a change in or loss of income, job, and food security. Using quantitative survey items ( N = 992), we examined what differences in family circumstances, for mothers and fathers of young children aged 0–5 living in Tower Hamlets, during March 2020 to November 2020, were associated with their mental health status. We measure parental mental health using symptoms of depression (self-report: Patient Health Questionnaire depression scale: PHQ-8), symptoms of anxiety levels (self-report: General Anxiety Disorder: GAD-7), and perceptions of direct loneliness. We find parental mental health difficulties are associated with low material assets (financial security, food security, and children having access to outside space), familial assets (parents time for themselves and parent status: lone vs. cohabiting), and community assets (receiving support from friends and family outside the household). South Asian parents and fathers across ethnicities were significantly more likely to experience mental health difficulties, once all other predictors were accounted for. These contributing factors should be considered for future pandemics, where restrictions on people's lives are put in place, and speak to the importance of reducing financial insecurity and food ins
… Read more",Article,1 , Frontiers in Psychiatry,4d ago,1,"
Download",0,0,10
Forecasting the vaccine uptake rate: An infodemiological study in the US,"['Xingzuo Zhou', 'Yiang Li']","A year following the initial COVID-19 outbreak in China, many countries have approved emergency vaccines. Public-health practitioners and policymakers must understand the predicted populational willingness for vaccines and implement relevant stimulation measures. This study developed a framework for predicting vaccination uptake rate based on traditional clinical data-involving an autoregressive model with autoregressive integrated moving average (ARIMA)- and innovative web search queries-involving a linear regression with ordinary least squares/least absolute shrinkage and selection operator, and machine-learning with boost and random forest. For accuracy, we implemented a stacking regression for the clinical data and web search queries. The stacked regression of ARIMA (1,0,8) for clinical data and boost with support vector machine for web data formed the best model for forecasting vaccination speed in the US. The stacked regression provided a more accurate forecast. These results can help governments and policymakers predict vaccine demand and finance relevant programs.",Preprint,,,5d ago,1,"
Download",0,1,70
Exploring equity in educational policies and interventions in primary and secondary education in the context of public health emergencies: A systematic literature review,"['Yi Shi', 'Kendra Pyne', 'Dhirapat Kulophas', 'Mukdarut Bangpan']","School disruptions during public health emergencies (PHEs) have a detrimental effect on students, families and societies, and exacerbate pre-existing education inequalities. Built on OECD's six education equity policy options and PROGRESS-Plus framework, this systematic review produced a narrative account of consequences of and barriers to access to primary and secondary educational policies and interventions implemented during PHEs through an equity lens. By examining 52 included studies, the review found that disadvantaged learners lacked reliable access to essential learning materials and resources. Families from disadvantaged socio-economic background and those with learning difficulties required extra support services during remote learning. Schools faced unique challenges in delivering inclusive teaching during PHEs. Recommendations were provided for practitioners to uphold education equity during school disruptions.",Article,2 , International Journal of Educational Research,5d ago,0,"
Request full-text",0,0,19
Mass Shootings and Media Framing,['Kendra Pyne'],,Research,,,Dec 11,0,"
Download",0,,2
How The Espionage Act Has Been Used to Prosecute Whistleblowers,['Kendra Pyne'],,Research,,,,0,"
Download",0,,1
Healthcare: Affordability and Opioid Findings Part I: Healthcare Affordability Part II: Reducing Prescription Overdose Deaths,['Kendra Pyne'],,Research,,,,0,"
Download",0,,1
Ethnic Inequalities in Healthcare Use and Care Quality among People with Multiple Long-Term Health Conditions Living in the United Kingdom: A Systematic Review and Narrative Synthesis,"['Brenda Adongo Hayanga', 'Mai Stafford', 'Laia Bécares']","Indicative evidence suggests that the prevalence of multiple long-term conditions (i.e., conditions that cannot be cured but can be managed with medication and other treatments) may be higher in people from minoritised ethnic groups when compared to people from the White majority population. Some studies also suggest that there are ethnic inequalities in healthcare use and care quality among people with multiple long-term conditions (MLTCs). The aims of this review are to (1) identify and describe the literature that reports on ethnicity and healthcare use and care quality among people with MLTCs in the UK and (2) examine how healthcare use and/or care quality for people with MLTCs compares across ethnic groups. We registered the protocol on PROSPERO (CRD42020220702). We searched the following databases up to December 2020: ASSIA, Cochrane Library, EMBASE, MEDLINE, PsycINFO, PubMed, ScienceDirect, Scopus, and Web of Science core collection. Reference lists of key articles were also hand-searched for relevant studies. The outcomes of interest were patterns of healthcare use and care quality among people with MLTCs for at least one minoritised ethnic group, compared to the White majority population in the UK. Two reviewers, L.B. and B.H., screened and extracted data from a random sample of studies (10%). B.H. independently screened and extracted data from the remaining studies. Of the 718 studies identified, 14 were eligible for inclusion. There was evidence indicating ethnic inequalities in disease management and emergency admissions among people with MLTCs in the five studies that counted more than two long-term conditions. Compared to their White counterparts, Black and Asian children and young people h
… Read more",Literature Review,1 , International Journal of Environmental Research and Public Health,Dec 2,1,"
Download",0,0,11
"Relationship identities among lesbian, gay, and bisexual adults: An exploratory study.","['Sara Mernitz', 'Jessica Perez', 'David M Frost', 'Stephen Thomas Russell']",,Article,1 , Couple and Family Psychology Research and Practice,Dec 2,0,"
Request full-text",0,1,43
The relational navigator: a pedagogical reframing of widening educational participation for care-experienced young people,"['Penny Jane Burke', 'Claire Cameron', 'Emily Fuller', 'Katie Hollingworth']","Young people in state care not only lose support, usually at 18 years of age, but also experience unequal participation in post-secondary education. This has raised concern about the importance of widening participation (WP) for care-experienced young people (CEYP). However, CEYP are often institutionally stigmatised and this could be worsened by WP interventions that are framed by deficit discourses. Weaving together social pedagogies and social justice theories, the article aims to reframe WP away from deficit discourses through recognition of the systemic, structural and cultural inequalities that most CEYP must navigate to access formal education. We introduce the concept of the relational navigator , in which a pedagogical relationship enables the navigator to ‘pilot’ through complex systems and transitional processes in collaboration with, and through ‘walking alongside’, the CEYP with respect to their lived contexts and experiences. This article draws from the reflections of WP navigators situated in two small-scale WP projects, one in an English museum and the other in an Australian university. Our analysis of the reflections of the WP project navigators is offered as a preliminary exploration of the potential the relational navigator as a way to shift deficit discourses and work towards a reframing of WP through a social pedagogical perspective.",Article,1 , International Journal of Social Pedagogy,Nov 27,0,"
Download",0,1,34
Bone disease in CKD 5D,"['L. Patrier', 'A.-M. Dupuis', 'A. Granger Vallee[...]', 'R. Wilson']","INTRODUCTION AND AIMS: Declining renal function is associated with a progressive increase in serum fibroblast growth factor-23 (FGF-23) levels. In patients on renal replacement therapy (RRT), high FGF-23 circulating levels have been associated with vascular calcifications and mortality, suggesting that FGF-23 could be a uremic toxin. In this perspective, reducing FGF-23 concentrations in this patient population appears an appealing approach. The purpose of our study was therefore to compare the clearance of FGF-23 between high flux haemodialysis (HD) and on-line haemodiafiltration (OL-HDF) procedures. METHODS: Two groups were defined according to their prevalent RRT modality. 53 patients (29 men, 24 women; median age 73 [range 41-91] years; mean dialysis vintage 4.4 [range 0.5-22.0] years) were included in the HD group while 32 patients (19 men, 13 women; median age 73 [range 40-89] years; mean dialysis vintage 3.5 [range 0.5-36.0] years) were included in the OL-HDF group. Serum pre- and post-dialysis FGF-23 levels were measured using a 2nd generation Human FGF-23 (C-Term) ELISA kit. Dialysis adequacy was assessed by serum urea and creatinine levels, urea single-pool Kt/V, and urea reduction rate. Bone and mineral disorders were evaluated by pre- and post-dialysis calcium and phosphate concentrations, calcium-phosphate product, intact parathyroid hormone (iPTH) and 25-hydroxyvitamin D3 levels. RESULTS: Median FGF-23 reduction rates were significantly higher with OL-HDF (55.7±25.2 %) versus HD (36.2±28.6 %) procedures (p=0.0331). Similarly, median calculated FGF-23 clearances (OL-HDF 55.0 vs. HD 41.8 ml/min, p = 0.015) and Kt/V (OL-HDF 1.00 vs. HD 0.72, p=0.0001) were significantly s
… Read more",Article,1 , CKJ: Clinical Kidney Journal,Nov 24,0,"
Request full-text",0,0,30
